09:35:12.884 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
09:35:12.904 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
09:35:12.916 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
09:35:12.917 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
09:35:12.918 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00000461 (PID-specific).
09:35:12.918 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00000461 (PID-specific) has no value.
09:35:12.918 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
09:35:12.945 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=30ms
09:35:12.946 |V| JetEnvironment                | :1                 | HostInit phase completed.
09:35:12.946 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
09:35:12.959 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir /Users/home/Documents/Unity/Coding/Library/RiderFlow/2022.1.2.205/Backend~/bin.
09:35:12.965 |V| DeployedPackages              | :1                 | Scanning folder /Users/home/Documents/Unity/Coding/Library/RiderFlow/2022.1.2.205/Backend~/bin for Deployed Packages. Picking nugets? True!
